COD_MUN_IBGE;NOME_MUNICIPIO;ESTADO;UF;QTD_CONSELHO_TUTELAR;Pop_Resd_0_17anos_2022;Pop_Resd_Total_2024_PNAD;LOCALIZACAO;BR-UF
1200013;Acrelandia;Acre;AC;1;8437;14657;Acrelandia, Acre, Brasil;BR-AC
1200054;Assis Brasil;Acre;AC;1;5602;8573;Assis Brasil, Acre, Brasil;BR-AC
1200104;Brasileia;Acre;AC;1;15027;27841;Brasileia, Acre, Brasil;BR-AC
1200138;Bujari;Acre;AC;1;7928;13766;Bujari, Acre, Brasil;BR-AC
1200179;Capixaba;Acre;AC;1;6279;10922;Capixaba, Acre, Brasil;BR-AC
1200203;Cruzeiro do Sul;Acre;AC;2;56567;98382;Cruzeiro do Sul, Acre, Brasil;BR-AC
1200252;Epitaciolandia;Acre;AC;1;10750;19739;Epitaciolandia, Acre, Brasil;BR-AC
1200302;Feijo;Acre;AC;1;25559;37644;Feijo, Acre, Brasil;BR-AC
1200328;Jordao;Acre;AC;1;8228;9787;Jordao, Acre, Brasil;BR-AC
1200336;Mancio Lima;Acre;AC;1;12874;20329;Mancio Lima, Acre, Brasil;BR-AC
1200344;Manoel Urbano;Acre;AC;1;8389;12776;Manoel Urbano, Acre, Brasil;BR-AC
1200351;Marechal Thaumaturgo;Acre;AC;1;13782;17951;Marechal Thaumaturgo, Acre, Brasil;BR-AC
1200385;Placido de Castro;Acre;AC;1;9754;17127;Placido de Castro, Acre, Brasil;BR-AC
1200807;Porto Acre;Acre;AC;1;10066;17455;Porto Acre, Acre, Brasil;BR-AC
1200393;Porto Walter;Acre;AC;1;8584;11275;Porto Walter, Acre, Brasil;BR-AC
1200401;Rio Branco;Acre;AC;3;192217;387852;Rio Branco, Acre, Brasil;BR-AC
1200427;Rodrigues Alves;Acre;AC;1;10451;15537;Rodrigues Alves, Acre, Brasil;BR-AC
1200435;Santa Rosa do Purus;Acre;AC;1;5937;7143;Santa Rosa do Purus, Acre, Brasil;BR-AC
1200500;Sena Madureira;Acre;AC;1;25758;43916;Sena Madureira, Acre, Brasil;BR-AC
1200450;Senador Guiomard;Acre;AC;1;12057;22352;Senador Guiomard, Acre, Brasil;BR-AC
1200609;Tarauaca;Acre;AC;1;32404;46517;Tarauaca, Acre, Brasil;BR-AC
1200708;Xapuri;Acre;AC;1;10924;19090;Xapuri, Acre, Brasil;BR-AC
2700102;Agua Branca;Alagoas;AL;1;10650;19550;Agua Branca, Alagoas, Brasil;BR-AL
2700201;Anadia;Alagoas;AL;1;7104;14193;Anadia, Alagoas, Brasil;BR-AL
2700300;Arapiraca;Alagoas;AL;2;117158;243661;Arapiraca, Alagoas, Brasil;BR-AL
2700409;Atalaia;Alagoas;AL;1;21451;38530;Atalaia, Alagoas, Brasil;BR-AL
2700508;Barra de Santo Antonio;Alagoas;AL;1;9275;16735;Barra de Santo Antonio, Alagoas, Brasil;BR-AL
2700607;Barra de Sao Miguel;Alagoas;AL;1;4215;8118;Barra de Sao Miguel, Alagoas, Brasil;BR-AL
2700706;Batalha;Alagoas;AL;1;8934;17103;Batalha, Alagoas, Brasil;BR-AL
2700805;Belem;Alagoas;AL;1;2268;4820;Belem, Alagoas, Brasil;BR-AL
2700904;Belo Monte;Alagoas;AL;1;3246;5898;Belo Monte, Alagoas, Brasil;BR-AL
2701001;Boca da Mata;Alagoas;AL;1;10845;21517;Boca da Mata, Alagoas, Brasil;BR-AL
2701100;Branquinha;Alagoas;AL;1;5646;9786;Branquinha, Alagoas, Brasil;BR-AL
2701209;Cacimbinhas;Alagoas;AL;1;5562;10701;Cacimbinhas, Alagoas, Brasil;BR-AL
2701308;Cajueiro;Alagoas;AL;1;9522;16605;Cajueiro, Alagoas, Brasil;BR-AL
2701357;Campestre;Alagoas;AL;1;3712;6807;Campestre, Alagoas, Brasil;BR-AL
2701407;Campo Alegre;Alagoas;AL;2;17716;32714;Campo Alegre, Alagoas, Brasil;BR-AL
2701506;Campo Grande;Alagoas;AL;1;4197;8293;Campo Grande, Alagoas, Brasil;BR-AL
2701605;Canapi;Alagoas;AL;1;9383;15743;Canapi, Alagoas, Brasil;BR-AL
2701704;Capela;Alagoas;AL;1;8351;15068;Capela, Alagoas, Brasil;BR-AL
2701803;Carneiros;Alagoas;AL;1;5567;9200;Carneiros, Alagoas, Brasil;BR-AL
2701902;Cha Preta;Alagoas;AL;1;3421;6010;Cha Preta, Alagoas, Brasil;BR-AL
2702009;Coite do Noia;Alagoas;AL;1;5483;11036;Coite do Noia, Alagoas, Brasil;BR-AL
2702108;Colonia Leopoldina;Alagoas;AL;1;9110;15949;Colonia Leopoldina, Alagoas, Brasil;BR-AL
2702207;Coqueiro Seco;Alagoas;AL;1;2919;5700;Coqueiro Seco, Alagoas, Brasil;BR-AL
2702306;Coruripe;Alagoas;AL;1;27547;51788;Coruripe, Alagoas, Brasil;BR-AL
2702355;Craibas;Alagoas;AL;1;14021;26115;Craibas, Alagoas, Brasil;BR-AL
2702405;Delmiro Gouveia;Alagoas;AL;2;27293;52809;Delmiro Gouveia, Alagoas, Brasil;BR-AL
2702504;Dois Riachos;Alagoas;AL;1;5066;9906;Dois Riachos, Alagoas, Brasil;BR-AL
2702553;Estrela de Alagoas;Alagoas;AL;1;7514;15701;Estrela de Alagoas, Alagoas, Brasil;BR-AL
2702603;Feira Grande;Alagoas;AL;1;11959;23191;Feira Grande, Alagoas, Brasil;BR-AL
2702702;Feliz Deserto;Alagoas;AL;1;2159;4038;Feliz Deserto, Alagoas, Brasil;BR-AL
2702801;Flexeiras;Alagoas;AL;1;5103;9767;Flexeiras, Alagoas, Brasil;BR-AL
2702900;Girau do Ponciano;Alagoas;AL;1;19687;37335;Girau do Ponciano, Alagoas, Brasil;BR-AL
2703007;Ibateguara;Alagoas;AL;1;7821;13992;Ibateguara, Alagoas, Brasil;BR-AL
2703106;Igaci;Alagoas;AL;1;12288;24452;Igaci, Alagoas, Brasil;BR-AL
2703205;Igreja Nova;Alagoas;AL;1;11299;22125;Igreja Nova, Alagoas, Brasil;BR-AL
2703304;Inhapi;Alagoas;AL;1;9424;15417;Inhapi, Alagoas, Brasil;BR-AL
2703403;Jacare dos Homens;Alagoas;AL;1;2877;5182;Jacare dos Homens, Alagoas, Brasil;BR-AL
2703502;Jacuipe;Alagoas;AL;1;2929;5432;Jacuipe, Alagoas, Brasil;BR-AL
2703601;Japaratinga;Alagoas;AL;1;5370;9443;Japaratinga, Alagoas, Brasil;BR-AL
2703700;Jaramataia;Alagoas;AL;1;2874;5075;Jaramataia, Alagoas, Brasil;BR-AL
2703759;Jequia da Praia;Alagoas;AL;1;5184;9625;Jequia da Praia, Alagoas, Brasil;BR-AL
2703809;Joaquim Gomes;Alagoas;AL;1;10817;17386;Joaquim Gomes, Alagoas, Brasil;BR-AL
2703908;Jundia;Alagoas;AL;1;2194;4176;Jundia, Alagoas, Brasil;BR-AL
2704005;Junqueiro;Alagoas;AL;1;12173;24381;Junqueiro, Alagoas, Brasil;BR-AL
2704104;Lagoa da Canoa;Alagoas;AL;1;9730;18831;Lagoa da Canoa, Alagoas, Brasil;BR-AL
2704203;Limoeiro de Anadia;Alagoas;AL;1;13260;25197;Limoeiro de Anadia, Alagoas, Brasil;BR-AL
2704302;Maceio;Alagoas;AL;10;435047;994464;Maceio, Alagoas, Brasil;BR-AL
2704401;Major Isidoro;Alagoas;AL;1;9034;17834;Major Isidoro, Alagoas, Brasil;BR-AL
2704906;Mar Vermelho;Alagoas;AL;1;1436;3212;Mar Vermelho, Alagoas, Brasil;BR-AL
2704500;Maragogi;Alagoas;AL;1;18078;33232;Maragogi, Alagoas, Brasil;BR-AL
2704609;Maravilha;Alagoas;AL;1;5123;9715;Maravilha, Alagoas, Brasil;BR-AL
2704708;Marechal Deodoro;Alagoas;AL;1;31271;62341;Marechal Deodoro, Alagoas, Brasil;BR-AL
2704807;Maribondo;Alagoas;AL;1;6770;13968;Maribondo, Alagoas, Brasil;BR-AL
2705002;Mata Grande;Alagoas;AL;1;12707;22147;Mata Grande, Alagoas, Brasil;BR-AL
2705101;Matriz de Camaragibe;Alagoas;AL;1;13649;24330;Matriz de Camaragibe, Alagoas, Brasil;BR-AL
2705200;Messias;Alagoas;AL;1;8562;15707;Messias, Alagoas, Brasil;BR-AL
2705309;Minador do Negrao;Alagoas;AL;1;2365;4938;Minador do Negrao, Alagoas, Brasil;BR-AL
2705408;Monteiropolis;Alagoas;AL;1;4101;7341;Monteiropolis, Alagoas, Brasil;BR-AL
2705507;Murici;Alagoas;AL;1;15065;25933;Murici, Alagoas, Brasil;BR-AL
2705606;Novo Lino;Alagoas;AL;1;5467;10298;Novo Lino, Alagoas, Brasil;BR-AL
