"id";"respostapergunta_id";"opcao_id"
31;554;113
33;553;106
39;553;109
41;553;110
43;553;111
45;554;116
47;553;107
49;553;108
51;556;25
53;556;27
55;556;28
57;556;29
59;556;30
61;561;33
63;561;35
65;561;38
67;561;39
79;556;24
81;611;95
83;611;98
85;611;102
87;611;100
89;611;101
91;618;103
95;464;106
97;464;107
99;464;110
101;465;113
103;465;114
105;465;116
107;467;25
109;467;30
111;467;22
112;467;23
115;467;24
117;467;27
119;467;26
121;467;29
123;469;121
124;469;122
127;469;123
129;469;125
131;469;127
133;481;51
135;481;50
137;481;52
139;483;53
141;483;54
143;483;55
145;483;56
147;483;57
149;483;58
151;483;131
153;493;70
155;503;71
157;503;72
159;503;73
161;503;74
169;504;80
171;504;82
173;522;95
175;522;96
177;522;97
179;522;98
181;522;99
183;522;100
185;522;101
187;522;102
189;529;103
191;480;1
199;94;16
201;94;17
203;95;18
205;95;19
207;95;20
209;108;106
211;108;107
213;108;108
215;108;110
217;108;111
219;109;113
221;109;114
223;109;115
225;109;116
227;116;31
229;116;32
231;116;33
233;116;34
235;116;36
237;116;37
239;116;38
241;116;39
243;391;1
245;478;43
247;478;42
257;111;24
259;111;27
261;108;109
263;113;121
265;124;44
267;125;50
269;127;53
271;127;54
273;127;55
275;127;56
277;127;57
279;127;58
281;127;131
285;717;15
287;717;16
289;717;17
291;718;19
295;731;107
297;731;106
299;731;108
301;731;109
303;731;110
305;731;111
307;732;113
309;732;114
311;732;115
313;732;116
315;734;22
317;734;23
319;734;24
321;734;26
323;734;25
325;736;119
327;736;120
329;736;123
331;736;121
333;736;122
335;739;31
337;739;33
339;739;34
341;739;35
343;739;36
345;739;37
347;739;39
349;739;38
351;739;32
373;745;40
375;745;41
377;745;42
383;747;49
391;748;52
393;748;50
395;750;53
397;750;54
399;750;55
401;750;56
403;750;131
409;770;71
411;770;72
413;770;73
415;770;74
417;770;75
429;789;96
431;789;95
435;789;101
439;796;104
443;747;48
445;789;100
467;925;45
469;926;51
471;937;64
473;937;66
475;760;70
477;771;147
481;909;106
483;909;110
485;909;111
487;910;113
489;910;114
3087;914;122
493;910;116
495;912;21
497;912;22
499;912;23
503;926;52
507;938;67
509;938;68
511;938;69
513;949;80
515;914;119
517;925;46
519;925;47
525;951;87
527;951;88
529;951;89
