"id";"text_answer";"boolean_answer";"created_at";"updated_at";"pergunta_id";"resposta_levantamento_id"
751;;true;2024-09-23 18:38:14.247 -0400;2024-10-01 18:53:17.242 -0400;36;9
14;;true;2024-09-16 06:57:12.039 -0400;2024-10-07 10:55:08.328 -0400;14;1
9;;false;2024-09-16 06:57:12.039 -0400;2024-10-07 10:29:32.390 -0400;9;1
15;;true;2024-09-16 06:57:12.039 -0400;2024-10-14 10:18:53.842 -0400;15;1
92;;true;2024-09-16 12:00:13.307 -0400;2024-09-23 11:46:05.387 -0400;3;2
93;;true;2024-09-16 12:00:13.307 -0400;2024-09-23 12:11:38.992 -0400;4;2
102;;true;2024-09-16 12:00:13.307 -0400;2024-09-23 12:39:55.814 -0400;13;2
106;;true;2024-09-16 12:00:13.307 -0400;2024-09-23 12:42:41.221 -0400;17;2
115;;true;2024-09-16 12:00:13.307 -0400;2024-09-23 13:22:48.895 -0400;24;2
108;;;2024-09-16 12:00:13.307 -0400;2024-09-27 11:52:05.244 -0400;18;2
109;;;2024-09-16 12:00:13.307 -0400;2024-09-23 13:22:19.950 -0400;19;2
118;;true;2024-09-16 12:00:13.308 -0400;2024-09-23 13:25:47.625 -0400;87;2
103;;true;2024-09-16 12:00:13.307 -0400;2024-09-26 10:43:33.063 -0400;14;2
104;;true;2024-09-16 12:00:13.307 -0400;2024-09-26 11:15:06.206 -0400;15;2
105;;true;2024-09-16 12:00:13.307 -0400;2024-09-26 11:30:30.525 -0400;16;2
110;;true;2024-09-16 12:00:13.307 -0400;2024-09-26 13:02:03.332 -0400;20;2
112;;true;2024-09-16 12:00:13.307 -0400;2024-09-27 11:52:40.137 -0400;23;2
67;"74,68%";;2024-09-16 06:57:12.040 -0400;2024-10-18 09:41:46.126 -0400;63;1
13;;true;2024-09-16 06:57:12.039 -0400;2024-10-07 11:45:09.564 -0400;13;1
17;;true;2024-09-16 06:57:12.040 -0400;2024-10-07 11:56:01.900 -0400;17;1
100;;true;2024-09-16 12:00:13.307 -0400;2024-10-07 12:08:44.287 -0400;11;2
98;;false;2024-09-16 12:00:13.307 -0400;2024-10-07 11:57:38.195 -0400;9;2
23;;true;2024-09-16 06:57:12.040 -0400;2024-10-07 12:28:02.583 -0400;23;1
114;;false;2024-09-16 12:00:13.307 -0400;2024-10-07 14:03:46.169 -0400;86;2
26;;true;2024-09-16 06:57:12.040 -0400;2024-10-08 08:23:43.042 -0400;24;1
28;;true;2024-09-16 06:57:12.040 -0400;2024-10-08 08:29:22.762 -0400;26;1
29;;true;2024-09-16 06:57:12.040 -0400;2024-10-08 08:38:17.274 -0400;87;1
31;;true;2024-09-16 06:57:12.040 -0400;2024-10-08 08:47:40.092 -0400;89;1
32;;true;2024-09-16 06:57:12.040 -0400;2024-10-08 09:36:25.530 -0400;29;1
39;;true;2024-09-16 06:57:12.040 -0400;2024-10-08 10:23:53.245 -0400;36;1
36;;;2024-09-16 06:57:12.040 -0400;2024-10-08 10:09:11.610 -0400;33;1
38;;;2024-09-16 06:57:12.040 -0400;2024-10-08 10:21:59.834 -0400;35;1
